tactic_id,tactic,priority,technique_id,technique,subtechnique_id,subtechnique,is_leaf,platforms,detection_strategies,analytics,data_components_required,data_components_missing,status,hypotheses,files
TA0001,Initial Access,,T1078,Valid Accounts,,,no,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,DET0560,AN1543; AN1544; AN1545; AN1546; AN1547,Logon Session Creation; Logon Session Metadata; Process Creation; User Account Authentication,,parent,0,
TA0001,Initial Access,,T1078,Valid Accounts,T1078.001,Default Accounts,yes,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,DET0465,AN1283; AN1284; AN1285; AN1286; AN1287,Logon Session Creation; Logon Session Metadata; User Account Authentication,,covered,1,techniques/T1078-valid-accounts/T1078.001-default-accounts/default-account-used-to-authenticate.yaml
TA0001,Initial Access,,T1078,Valid Accounts,T1078.002,Domain Accounts,yes,ESXi; Linux; macOS; Windows,DET0210,AN0590; AN0591; AN0592; AN0593,Logon Session Metadata; Network Connection Creation; Process Creation; User Account Authentication,,not-covered,0,
TA0001,Initial Access,,T1078,Valid Accounts,T1078.003,Local Accounts,yes,Containers; ESXi; Linux; macOS; Network Devices; Windows,DET0407,AN1137; AN1138; AN1139,Logon Session Creation; Logon Session Metadata; User Account Authentication,,not-covered,0,
TA0001,Initial Access,,T1078,Valid Accounts,T1078.004,Cloud Accounts,yes,IaaS; Identity Provider; Office Suite; SaaS,DET0546,AN1503; AN1504; AN1505; AN1506,Logon Session Creation; Logon Session Metadata; User Account Authentication,,out-of-scope,0,
TA0001,Initial Access,,T1091,Replication Through Removable Media,,,yes,Windows,DET0301,AN0841,Drive Creation; File Access; File Creation; Process Creation,Drive Creation,blocked-telemetry,0,
TA0001,Initial Access,,T1133,External Remote Services,,,yes,Containers; Linux; macOS; Windows,DET0354,AN1004; AN1005; AN1006; AN1007,Application Log Content; Logon Session Metadata; Network Connection Creation; Network Traffic Flow; User Account Authentication,,covered,1,techniques/T1133-external-remote-services/remote-access-service-exposed-for-reentry.yaml
TA0001,Initial Access,,T1189,Drive-by Compromise,,,yes,Identity Provider; Linux; macOS; Windows,DET0176,AN0498; AN0499; AN0500; AN0501,Application Log Content; File Creation; Logon Session Creation; Network Connection Creation; Network Traffic Content; Process Creation; Process Modification; User Account Authentication; User Account Metadata,Process Modification,not-covered,0,
TA0001,Initial Access,,T1190,Exploit Public-Facing Application,,,yes,Containers; ESXi; IaaS; Linux; macOS; Network Devices; Windows,DET0080,AN0219; AN0220; AN0221; AN0222; AN0223; AN0224; AN0225,Application Log Content; Module Load; Network Connection Creation; Network Traffic Content; Network Traffic Flow; Process Creation,Module Load,not-covered,0,
TA0001,Initial Access,,T1195,Supply Chain Compromise,,,no,Linux; Windows; macOS; SaaS,DET0537,AN1480; AN1481; AN1482,File Creation; File Metadata; File Modification; Module Load; Network Traffic Flow; Process Creation; Process Modification,Module Load; Process Modification,parent,0,
TA0001,Initial Access,,T1195,Supply Chain Compromise,T1195.001,Compromise Software Dependencies and Development Tools,yes,Linux; macOS; Windows,DET0009,AN0021; AN0022; AN0023,File Creation; File Metadata; Module Load; Network Traffic Flow; Process Creation; Process Modification; Windows Registry Key Modification,Module Load; Process Modification,not-covered,0,
TA0001,Initial Access,,T1195,Supply Chain Compromise,T1195.002,Compromise Software Supply Chain,yes,Linux; Windows; macOS,DET0309,AN0862; AN0863; AN0864,Driver Load; File Creation; File Metadata; Module Load; Network Connection Creation; Network Traffic Flow; Process Creation; Windows Registry Key Modification,Driver Load; Module Load,not-covered,0,
TA0001,Initial Access,,T1195,Supply Chain Compromise,T1195.003,Compromise Hardware Supply Chain,yes,Linux; macOS; Windows,DET0368,AN1035; AN1036; AN1037,Driver Load; File Metadata; Host Status; Module Load; Process Access,Driver Load; Host Status; Module Load; Process Access,blocked-telemetry,0,
TA0001,Initial Access,,T1199,Trusted Relationship,,,yes,IaaS; Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,DET0488,AN1344; AN1345; AN1346; AN1347; AN1348; AN1349; AN1350,Application Log Content; Logon Session Creation; Logon Session Metadata; Network Connection Creation; Network Traffic Content,,not-covered,0,
TA0001,Initial Access,,T1200,Hardware Additions,,,yes,Windows; Linux; macOS,DET0069,AN0185; AN0186; AN0187,Application Log Content; Drive Creation; Driver Load; File Creation; Module Load; Network Connection Creation; Network Traffic Flow; Process Creation,Drive Creation; Driver Load; Module Load,blocked-telemetry,0,
TA0001,Initial Access,,T1566,Phishing,,,no,Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,DET0070,AN0188; AN0189; AN0190; AN0191; AN0192; AN0193,Application Log Content; File Creation; Logon Session Creation; Process Creation,,parent,0,
TA0001,Initial Access,,T1566,Phishing,T1566.001,Spearphishing Attachment,yes,Linux; macOS; Windows,DET0236,AN0655; AN0656; AN0657,Application Log Content; File Creation; Network Connection Creation; Network Traffic Flow; Process Creation,,not-covered,0,
TA0001,Initial Access,,T1566,Phishing,T1566.002,Spearphishing Link,yes,Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,DET0107,AN0298; AN0299; AN0300; AN0301,Application Log Content; Network Connection Creation; Network Traffic Content; Network Traffic Flow; Process Creation,,not-covered,0,
TA0001,Initial Access,,T1566,Phishing,T1566.003,Spearphishing via Service,yes,Linux; macOS; Windows,DET0115,AN0320; AN0321; AN0322,Application Log Content; File Creation; Network Connection Creation; Network Traffic Content; Network Traffic Flow; Process Creation,,not-covered,0,
TA0001,Initial Access,,T1566,Phishing,T1566.004,Spearphishing Voice,yes,Linux; macOS; Windows; Identity Provider,DET0245,AN0683; AN0684; AN0685; AN0686,Application Log Content,,not-covered,0,
TA0001,Initial Access,,T1659,Content Injection,,,yes,Linux; macOS; Windows,DET0349,AN0992; AN0993; AN0994,Command Execution; File Creation; Network Traffic Content; Process Creation,,not-covered,0,
TA0001,Initial Access,,T1669,Wi-Fi Networks,,,yes,Linux; Network Devices; Windows; macOS,DET0536,AN1476; AN1477; AN1478; AN1479,Firewall Rule Modification; Network Connection Creation; Network Traffic Content; Network Traffic Flow; User Account Authentication,Firewall Rule Modification,not-covered,0,
TA0002,Execution,1,T1047,Windows Management Instrumentation,,,yes,Windows,DET0364,AN1031,Network Connection Creation; Process Creation; WMI Creation,,covered,1,techniques/T1047-windows-management-instrumentation/wmi-remote-process-creation.yaml
TA0002,Execution,1,T1053,Scheduled Task/Job,,,no,Containers; ESXi; Linux; macOS; Network Devices; Windows,DET0094,AN0258; AN0259; AN0260; AN0261; AN0262,Command Execution; File Creation; File Modification; Process Creation; Scheduled Job Creation,,parent,0,
TA0002,Execution,1,T1053,Scheduled Task/Job,T1053.002,At,yes,Windows; Linux; macOS,DET0333,AN0943; AN0944; AN0945,Command Execution; File Modification; Process Creation; Scheduled Job Creation,,covered,1,techniques/T1053-scheduled-task-job/T1053.002-at/at-command-used-to-schedule-execution.yaml
TA0002,Execution,1,T1053,Scheduled Task/Job,T1053.003,Cron,yes,Linux; macOS; ESXi,DET0290,AN0805; AN0806; AN0807,File Modification; Process Creation; Scheduled Job Creation,,covered,1,techniques/T1053-scheduled-task-job/T1053.003-cron/cron-job-created-for-untrusted-payload.yaml
TA0002,Execution,1,T1053,Scheduled Task/Job,T1053.005,Scheduled Task,yes,Windows,DET0441,AN1221,File Creation; Process Creation; Scheduled Job Creation; Scheduled Job Modification; Windows Registry Key Modification,,covered,1,techniques/T1053-scheduled-task-job/T1053.005-scheduled-task/scheduled-task-created-for-untrusted-payload.yaml
TA0002,Execution,1,T1053,Scheduled Task/Job,T1053.006,Systemd Timers,yes,Linux,DET0231,AN0645,File Creation; Process Creation; Scheduled Job Creation,,covered,1,techniques/T1053-scheduled-task-job/T1053.006-systemd-timers/systemd-timer-created-for-untrusted-payload.yaml
TA0002,Execution,1,T1053,Scheduled Task/Job,T1053.007,Container Orchestration Job,yes,Containers,DET0206,AN0582,Container Creation; Network Traffic Content; Scheduled Job Creation,Container Creation,out-of-scope,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,,,no,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,DET0516,AN1428; AN1429; AN1430; AN1431; AN1432,Command Execution; Process Creation; User Account Authentication,,parent,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.001,PowerShell,yes,Windows,DET0455,AN1252,Command Execution; Module Load; Process Creation; Process Metadata,Module Load,covered,1,techniques/T1059-command-and-scripting-interpreter/T1059.001-powershell/powershell-download-cradle.yaml
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.002,AppleScript,yes,macOS,DET0414,AN1164,Process Creation,,not-covered,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.003,Windows Command Shell,yes,Windows,DET0202,AN0578,Module Load; Process Creation; Script Execution,Module Load,covered,1,techniques/T1059-command-and-scripting-interpreter/T1059.003-windows-command-shell/chained-command-shell-one-liner.yaml
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.004,Unix Shell,yes,ESXi; Linux; macOS; Network Devices,DET0384,AN1081; AN1082; AN1083; AN1084,Command Execution; Logon Session Creation; Network Connection Creation; Network Traffic Flow; Process Creation; Script Execution,,not-covered,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.005,Visual Basic,yes,Linux; macOS; Windows,DET0076,AN0209; AN0210; AN0211,Command Execution; Module Load; Process Creation; Script Execution,Module Load,covered,1,techniques/T1059-command-and-scripting-interpreter/T1059.005-visual-basic/vbscript-host-executing-delivered-script.yaml
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.006,Python,yes,ESXi; Linux; macOS; Windows,DET0063,AN0172; AN0173; AN0174; AN0175,Command Execution; Network Traffic Content; Process Creation; Script Execution,,covered,1,techniques/T1059-command-and-scripting-interpreter/T1059.006-python/python-interpreter-executing-delivered-code.yaml
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.007,JavaScript,yes,Linux; macOS; Windows,DET0264,AN0733; AN0734; AN0735,Command Execution; Module Load; Process Creation; Script Execution,Module Load,not-covered,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.008,Network Device CLI,yes,Network Devices,DET0142,AN0399,Command Execution; Network Traffic Content; User Account Authentication,,out-of-scope,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.009,Cloud API,yes,IaaS; Identity Provider; Office Suite; SaaS,DET0078,AN0215,Cloud Service Modification; Command Execution; User Account Authentication,Cloud Service Modification,out-of-scope,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.010,AutoHotKey & AutoIT,yes,Windows,DET0332,AN0942,File Creation; Process Access; Process Creation,Process Access,blocked-telemetry,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.011,Lua,yes,Linux; Network Devices; Windows; macOS,DET0101,AN0278; AN0279; AN0280; AN0281,Command Execution; File Creation; File Metadata; Process Creation; Script Execution,,not-covered,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.012,Hypervisor CLI,yes,ESXi,DET0558,AN1537,Command Execution; User Account Authentication,,out-of-scope,0,
TA0002,Execution,1,T1059,Command and Scripting Interpreter,T1059.013,Container CLI/API,yes,Containers,DET0083,AN0233,Command Execution; Container Creation; Container Start; Pod Creation; Process Creation,Container Creation; Container Start; Pod Creation,out-of-scope,0,
TA0002,Execution,1,T1072,Software Deployment Tools,,,yes,Linux; macOS; Network Devices; SaaS; Windows,DET0223,AN0623; AN0624; AN0625; AN0626; AN0627,Application Log Content; Command Execution; Network Traffic Flow; Process Creation,,covered,1,techniques/T1072-software-deployment-tools/deployment-tool-used-to-push-untrusted-payload.yaml
